value,component_label
65.809282,1
18.142820,1
3.296345,0
2.637568,0
38.542631,1
3.735503,0
2.484240,0
1.470154,0
2.345630,0
3.335729,0
2.087905,0
2.000247,0
4.172020,0
2.083461,0
6.294104,0
30.489922,1
2.959529,0
110.991169,-1
1.399457,0
29.668995,1
3.699773,0
20.413660,1
0.574287,0
2.776408,0
14.701134,1
35.998769,1
1.044296,0
14.057514,1
1.585531,0
9.694341,1
16.111018,1
313.689568,-1
1.558684,0
198.329232,-1
17.897949,1
125.107846,1
53.167713,1
63.208971,1
3.124362,0
67.323537,1
2.358224,0
114.815712,1
167.818346,-1
2.499889,0
3.383723,0
2.765570,0
10.797762,0
3.357623,0
2.138743,0
27.448281,1
3.764203,0
24.999820,1
4.086785,0
2.602058,0
3.609461,0
2.432839,0
48.371252,1
67.781164,1
2.432276,0
47.378737,1
34.144120,1
40.964367,1
4.761639,0
24.989680,1
2.487899,0
1.723781,0
121.603668,1
1.889989,0
5.487586,1
2.098091,0
2.033317,0
6.699541,0
3.495273,0
5.647749,0
14.553913,1
163.042725,1
3.226891,0
3.432014,0
40.812990,1
2.111952,0
4.103155,0
3.678216,0
6.171728,1
1.576901,0
127.378461,-1
91.826418,1
1.185684,0
12.383443,1
67.502101,1
5.199011,0
167.242976,1
99.439605,1
32.236842,1
2.735219,0
22.576963,1
1.145647,0
5.675507,0
69.084013,1
23.868845,1
1.766382,0
10.432398,1
15.839584,1
3.105828,0
24.357090,1
242.744900,-1
59.988084,1
31.845060,1
1.819490,0
21.076966,1
54.796354,1
29.814487,1
0.874831,0
37.492936,1
1.810941,0
40.781331,1
23.911773,1
3.540560,0
3.639699,0
2.686441,0
11.463429,1
1.249762,0
40.167473,1
1.140138,0
29.351094,1
43.468696,1
3.191322,0
1.402113,0
1.492449,0
45.328355,1
1.003429,0
323.114021,-1
45.961783,1
2.790684,0
2.812264,0
2.591444,0
0.972504,0
2.391526,0
3.036577,0
1.219930,0
3.179211,0
34.688846,1
270.559373,-1
1.315456,0
3.444583,0
4.376949,1
11.424374,1
103.357981,1
1.870331,0
2.950342,0
1.068721,0
1.140186,0
70.827410,1
1.510955,0
2.514098,0
2.302308,0
9.846238,0
35.926854,1
21.964536,1
232.992083,-1
12.629694,0
2.259928,0
5.290009,0
3.699361,0
2.191146,0
1.726201,0
4.140033,0
32.246710,1
310.076597,-1
3.036812,0
66.673287,-1
3.215495,0
5.516061,0
16.179143,1
3.441787,0
3.422733,0
1.064465,0
64.790073,1
1.450420,0
2.743810,0
2.748488,0
4.675616,0
1.704565,0
38.538791,1
16.045271,1
18.678853,1
32.734782,1
3.050268,0
2.063459,0
4.184436,0
70.987891,1
333.217282,-1
3.059088,0
3.085181,0
2.508261,0
4.268062,0
3.346427,0
1.152479,0
45.920987,1
175.468249,-1
23.073215,1
14.715233,1
6.237402,0
3.750563,0
4.910806,0
1.490375,0
53.653674,1
0.587222,0
29.065341,1
1.314413,0
3.391268,0
13.403391,1
35.740173,1
6.133368,0
1.728812,0
2.687443,0
9.474526,1
0.726669,0
3.869584,0
18.964760,1
378.713807,-1
25.983356,1
43.548283,1
1.095143,0
6.801078,0
20.590534,-1
1.212170,0
4.003987,0
62.476531,1
3.547672,0
104.073088,1
3.848082,0
5.573253,0
2.840530,0
0.634737,0
1.866042,0
4.075085,0
285.552794,1
3.269644,0
9.829246,0
2.240643,0
2.248256,0
15.870981,1
143.396728,-1
2.885215,0
1.580364,0
164.238772,-1
1.883420,0
5.714289,0
29.071714,1
1.211336,0
48.925456,1
3.030152,0
1.953880,0
3.927923,0
23.349804,1
2.691628,0
65.869157,1
2.913645,0
1.887601,0
4.428699,0
1.820563,0
2.925246,0
19.499996,1
63.517878,1
4.092413,0
1.986484,0
1.396061,0
1.731391,0
9.364277,0
5.269741,0
23.065263,1
20.928641,1
2.454417,0
5.536832,0
41.435124,1
3.896027,0
54.498271,1
7.438138,0
6.502069,0
2.654528,0
1.437086,0
5.992067,0
47.068359,1
3.275742,0
20.775888,1
11.518817,1
16.182722,1
14.387568,1
10.760135,1
20.532148,1
19.697694,1
2.795996,0
33.204998,1
1.330052,0
1.816708,0
9.839122,0
20.291673,1
2.185474,0
1.384328,0
2.921734,0
3.110585,0
1.260889,0
4.289837,0
3.612138,0
28.151918,1
4.807871,0
1.068281,0
1.646730,0
4.304445,0
62.823400,1
0.492074,0
27.563361,1
1.231041,0
3.197196,0
0.838784,0
11.622509,1
3.539582,0
4.359035,0
89.023874,1
6.162511,0
37.185179,1
3.367826,0
1.180876,0
134.879334,1
21.571194,1
23.043904,1
52.378817,1
1.129631,0
21.452924,1
2.061877,0
33.120938,1
24.620847,1
25.884149,1
1.468279,0
36.120037,1
2.492743,0
13.824645,1
28.011706,1
4.947122,0
13.315563,1
44.426221,1
1.115231,0
4.714850,0
20.074657,1
4.879642,0
52.022938,1
120.280030,1
2.834544,0
4.702766,0
54.053540,1
3.057224,0
2.849607,0
3.007402,0
1.654412,0
1.491528,0
1.961962,0
1.521679,0
67.345270,1
35.215330,1
3.425305,0
5.115531,0
9.334566,0
37.140602,1
13.327792,1
14.682459,1
4.869263,0
112.831345,1
337.348162,-1
2.382611,0
65.231165,1
2.380756,0
38.288182,1
2.488795,0
3.947514,0
12.855069,0
1.663761,0
45.226868,1
5.173267,0
5.549358,0
51.513296,1
2.187010,0
5.949382,0
16.977445,1
49.397079,1
1.781390,0
57.672654,1
3.810581,0
2.528007,0
1.508468,0
3.884888,0
2.798582,0
5.610050,1
12.948887,0
1.458856,0
6.492750,0
2.758553,0
2.980929,0
1.472940,0
3.630911,0
3.172533,0
3.645978,0
2.895695,0
19.525925,1
130.124372,1
2.676922,0
139.827420,1
114.344534,1
65.813575,-1
3.708381,0
2.825169,0
3.063126,0
89.001150,1
22.813570,1
2.450822,0
17.517131,1
8.758340,1
37.407974,1
3.483582,0
3.137021,0
3.656177,0
17.933576,1
6.805494,0
3.671316,0
1.770725,0
7.157972,0
4.581565,0
1.157946,0
19.623728,1
3.476031,0
144.105683,1
112.954171,1
100.822136,-1
2.612616,0
21.349324,1
3.832624,0
2.622911,0
2.148425,0
32.292941,1
4.157297,0
1.798782,0
3.328633,0
2.053158,0
26.056277,1
155.014317,-1
174.036689,1
163.454390,1
32.869979,1
3.071230,0
1.294118,0
9.192862,1
21.774276,1
33.673433,1
40.334365,1
1.242740,0
38.698040,1
35.175398,1
2.845114,0
31.518940,1
51.300233,1
17.022606,1
1.757193,0
3.340669,0
3.011744,0
51.951193,1
29.422972,1
8.498836,0
1.868449,0
6.131152,0
28.036480,1
1.507583,0
28.087158,1
1.280725,0
1.935221,0
3.750884,0
2.286003,0
14.254235,1
8.156990,0
22.426374,1
1.753792,0
55.751761,1
1.952848,0
5.678013,0
5.046019,0
5.991064,0
51.479364,1
58.692095,1
61.753410,1
20.484349,1
40.621887,1
4.102641,0
14.603904,-1
7.011332,0
21.908097,1
1.971627,0
3.293231,0
6.861638,0
38.041335,1
30.460800,1
2.431734,0
1.548528,0
3.097080,0
1.697338,0
5.850962,0
2.726848,0
2.844771,0
3.081197,0
152.895669,-1
88.650317,1
140.898445,-1
6.740067,0
3.159127,0
1.678822,0
1.841229,0
2.223982,0
33.296087,1
2.205179,0
35.024287,1
2.268997,0
94.466663,1
60.827669,1
2.186489,0
0.984350,0
392.645564,-1
7.826287,1
3.190668,0
29.232510,1
10.371477,1
35.820059,-1
65.574099,1
11.749979,0
2.882349,0
3.109147,0
1.260795,0
6.688943,0
2.480644,0
66.653752,1
16.606254,1
4.971769,0
276.657387,-1
9.953785,0
3.305804,0
0.824860,0
36.545711,1
1.673674,0
4.164416,0
9.918334,0
2.925900,0
2.561687,0
3.301743,0
2.111523,0
49.969050,1
58.823920,1
22.096133,1
1.897172,0
3.010932,0
2.761170,0
21.201280,1
3.408687,0
40.855811,1
51.735947,1
42.645628,1
2.817298,0
2.078418,0
14.831545,1
2.375340,0
3.248492,0
3.941229,0
56.621258,1
4.062520,0
3.614014,0
354.903937,-1
17.005812,1
1.729372,0
27.968974,1
2.653568,0
1.930062,0
1.951632,0
43.045467,1
102.346828,1
17.689787,1
2.945046,0
7.984695,0
4.451478,0
44.751619,1
116.721916,-1
44.013248,1
3.376979,0
365.040090,-1
235.691918,-1
3.268869,0
4.706508,1
38.389825,1
3.702548,0
12.615416,0
2.770984,0
3.418361,0
110.932726,1
3.070234,0
32.349215,1
3.992852,0
37.633143,1
2.472415,0
1.399618,0
1.651081,0
1.948150,0
1.562917,0
9.341784,0
1.444771,0
403.536911,-1
2.660769,0
1.171678,0
3.917614,0
49.390006,1
15.770128,1
102.047872,-1
66.375290,1
2.909876,0
1.727289,0
21.740397,1
37.898963,1
6.879205,0
6.778921,0
2.051343,0
1.288762,0
10.236705,1
1.625321,0
13.263542,1
26.799631,1
3.972695,0
2.537746,0
138.996044,-1
120.755768,1
19.258418,1
1.984343,0
1.032376,0
5.643534,1
55.055096,1
113.334717,1
1.369188,0
2.467557,0
1.484604,0
23.350636,1
0.616938,0
3.956661,0
6.571238,0
32.750879,1
3.012653,0
0.564482,0
63.378028,1
2.201396,0
1.598584,0
4.112727,0
19.919718,1
306.083836,-1
4.318980,0
1.402246,0
2.276773,0
1.532156,0
16.533123,1
2.726635,0
5.255453,0
29.667174,1
7.348680,1
31.163240,1
38.777253,1
39.656162,1
4.482215,0
4.547583,0
3.979289,0
2.032892,0
2.165223,0
3.966076,0
228.170313,1
1.992972,0
5.741102,0
69.230478,1
36.307374,1
1.222943,0
3.178484,0
6.202335,0
30.424290,1
1.481029,0
14.094120,1
1.514798,0
5.655453,0
32.530969,-1
81.393073,1
59.898980,1
57.025505,1
3.338879,0
2.905349,0
2.058442,0
1.665022,0
3.131051,0
2.174233,0
85.970654,1
1.734828,0
37.781088,1
3.619097,0
4.137890,0
38.572284,-1
5.936055,0
12.224304,1
2.642823,0
3.414799,0
64.125220,1
3.952989,0
5.050459,0
11.777487,1
13.604850,1
1.832834,0
5.628588,0
45.378473,1
2.239812,0
1.806460,0
6.656629,0
1.088288,0
53.029195,1
3.649481,0
6.701932,0
2.935456,0
2.968415,0
35.549499,1
103.098249,1
10.970000,1
49.445712,1
51.265981,1
2.361998,0
2.066264,0
1.146866,0
2.347864,0
11.459537,1
7.996492,1
1.298853,0
1.488123,0
54.620344,1
60.060571,1
0.900753,0
27.430044,0
2.567218,0
33.147403,1
81.519332,1
4.015335,0
1.287313,0
4.428719,0
2.825498,0
2.841855,0
1.366418,0
2.795083,0
3.774464,0
10.616567,0
3.311001,0
32.967532,1
32.148653,1
3.719917,0
38.706982,1
29.742490,1
1.564546,0
2.028412,0
6.953982,0
2.353267,0
197.362101,1
1.777839,0
3.217469,0
1.977524,0
0.721314,0
3.217855,0
3.148669,0
31.508180,1
3.315234,0
3.786696,0
4.901859,0
2.542796,0
188.058705,1
1.960835,0
6.455556,0
10.392941,1
2.599535,0
187.006946,-1
4.576368,-1
15.220978,1
3.865211,0
46.783849,1
0.821814,0
4.772977,0
1.225181,0
1.642911,0
1.845828,0
2.565035,0
3.252993,0
1.285734,0
103.326708,1
2.537446,0
18.996020,1
2.183717,0
22.145187,1
2.011631,0
3.701223,0
21.335402,1
54.625715,1
1.565719,0
6.374480,0
1.432585,0
33.995821,1
4.765522,0
3.276416,0
3.976299,0
5.547847,0
4.355677,0
1.208028,0
65.270448,1
1.324816,0
15.668448,1
3.841774,0
12.784924,1
25.716729,1
39.273787,1
5.372747,0
1.977235,0
4.995922,0
1.007111,0
53.398496,1
3.531752,0
56.114628,1
3.251940,0
137.036692,1
5.850920,0
4.454444,0
27.700160,1
4.872137,0
2.100881,0
49.313332,1
71.687614,1
6.989381,0
7.399504,0
23.650649,1
46.558508,1
47.029760,1
1.635888,0
5.214991,0
4.018203,0
1.869626,0
4.718719,0
3.532253,0
44.776360,1
3.150903,1
22.667417,1
15.398641,1
2.026553,0
3.575310,0
0.903280,0
198.791323,-1
35.470963,1
56.415244,1
1.979472,0
5.396193,0
3.459164,0
149.981304,-1
32.623503,1
0.984640,0
3.842961,0
49.619114,1
2.594251,0
19.149874,1
5.073053,0
2.893656,0
2.829767,0
16.134709,1
2.971897,0
407.384255,-1
1.783840,0
32.943137,1
105.509330,1
3.330418,0
3.034374,0
253.932744,-1
41.614275,1
1.826544,0
370.582733,-1
301.318793,-1
0.538950,0
1.114787,0
2.688255,0
3.627724,0
5.588597,0
33.618607,1
1.991798,0
5.192465,0
28.425225,1
2.283788,0
4.941951,0
27.530842,1
13.902956,0
3.828064,0
3.299753,0
5.672030,1
77.336647,1
3.297019,0
3.040046,0
117.264557,1
42.480576,1
75.525056,1
307.345442,-1
67.763971,1
2.096911,0
2.001687,0
350.470151,1
13.876590,1
39.590577,1
4.805362,0
5.553275,0
4.707897,0
1.758663,0
2.296393,0
27.541100,1
5.542422,0
4.044178,0
26.922521,1
30.603963,1
120.274485,1
5.823284,1
35.190080,1
50.300312,1
1.012843,0
3.109091,0
45.107957,1
13.892372,1
4.963543,0
3.058464,0
4.245920,0
1.653018,0
2.450169,0
1.881291,0
160.959450,1
20.152370,1
12.929665,1
45.826717,-1
19.980121,1
7.415285,0
111.656494,1
56.729195,1
10.500905,0
3.973944,0
1.844220,0
3.028103,0
10.318710,1
2.355236,0
75.643912,1
24.296207,1
33.639243,1
0.746967,0
3.234469,0
1.852661,0
6.331951,0
41.005300,1
2.495708,0
57.206252,1
1.885688,0
1.942336,0
3.346458,0
3.322356,0
2.897529,0
2.501590,0
2.846508,0
2.326221,0
38.571300,1
2.739570,0
33.716007,1
2.673774,0
4.483273,0
75.111046,1
1.439753,0
7.280570,0
2.241552,0
4.860722,0
35.575761,1
39.827623,1
1.966281,0
28.570643,1
75.807669,1
3.987464,0
76.543114,1
7.993366,0
0.886990,0
69.222094,1
2.752408,0
4.846843,0
3.848871,0
8.429282,0
26.906359,1
2.242949,0
2.832438,0
7.996563,1
3.565924,0
27.580805,1
22.699151,1
31.781521,1
28.444897,1
2.183234,0
190.975059,-1
55.186234,1
9.949634,1
2.199214,0
3.346346,0
19.822358,1
3.880099,0
25.555668,-1
5.573052,0
15.407446,1
8.483099,0
381.295217,-1
2.738897,0
50.790192,1
2.662253,0
6.596360,0
34.135922,1
3.128422,0
58.414343,1
81.562052,1
2.351951,0
57.147843,1
70.973008,1
2.080688,0
2.034711,0
3.348622,0
63.294225,-1
0.934978,0
2.931006,0
49.088023,1
48.476843,1
38.362470,1
4.233715,0
49.748485,1
35.004460,1
101.623913,1
4.465182,0
1.162738,0
1.622149,0
3.754585,0
2.657589,0
2.343613,0
274.322091,-1
72.251862,1
54.476298,1
3.824355,0
2.855074,0
17.379719,1
3.975960,0
11.916754,0
1.237259,0
1.253605,0
9.159012,1
2.424916,0
88.133711,1
1.820504,0
2.332670,0
3.388608,0
4.046000,0
5.477612,0
14.497568,1
4.752962,0
2.277390,0
6.950310,0
17.067949,1
2.044305,0
17.567736,1
2.559745,0
44.221134,1
78.000441,-1
31.213227,1
46.964446,1
31.933992,1
360.570947,-1
3.259524,0
20.096058,1
3.765870,0
101.768027,1
29.953213,1
24.207951,1
10.001915,1
71.656316,1
70.987232,1
8.259524,0
159.185431,1
1.923098,0
3.973587,0
31.474583,1
2.346130,0
14.853715,1
1.082780,0
1.119462,0
32.000173,1
2.562533,0
20.616985,1
2.258039,0
160.039700,-1
84.408828,1
62.320942,1
5.386669,0
13.400463,1
1.917441,0
1.167568,0
0.800215,0
29.340868,1
13.841630,1
368.621983,-1
17.885729,1
1.263582,0
1.362613,0
5.454801,0
25.622373,1
17.675694,1
14.929628,1
4.948015,0
2.447395,0
5.276777,0
43.866835,1
64.076560,1
31.851297,1
79.612840,1
2.204378,0
4.738433,0
1.562145,0
1.187606,0
7.935186,1
1.516126,0
19.822442,1
28.009646,1
22.320415,1
5.343811,0
158.646422,1
5.285196,0
4.534270,0
4.180895,0
158.097041,-1
2.501877,0
3.061334,0
26.597189,1
37.390116,1
5.094997,0
370.281133,-1
30.391358,1
4.821501,0
4.132713,0
34.491405,1
4.780106,0
3.018460,0
7.388037,1
7.981528,1
1.847603,0
1.838405,0
2.148876,0
1.682843,0
3.154823,0
4.426085,0
4.601661,0
2.181266,0
52.465930,1
24.887773,1
2.039073,0
6.605922,0
2.606219,0
2.031515,0
2.027271,0
26.646982,1
48.690934,1
269.517810,1
3.354753,0
1.854412,0
76.406730,1
97.084240,-1
32.609110,1
2.681239,0
308.640274,-1
2.429568,0
96.851680,1
129.448668,1
15.317452,1
281.769820,-1
22.565126,1
6.124661,0
2.263393,0
65.318917,1
1.575177,0
1.897192,0
2.675381,0
23.100369,1
48.308224,1
23.714971,1
4.003727,0
70.109346,1
56.432769,1
10.117569,0
28.299007,1
1.949963,0
2.380764,0
0.842609,0
2.383428,0
29.133647,1
41.718927,1
107.576662,-1
41.903917,1
43.598830,1
6.691247,0
2.796697,0
21.356799,1
54.470321,1
24.699781,1
2.390749,0
2.458932,0
1.003093,0
2.240295,0
3.273607,0
2.188946,0
11.496396,1
16.867737,1
3.816393,0
274.643715,1
6.172627,0
3.914697,0
2.546561,0
1.976799,0
2.157501,0
1.621302,0
2.658246,0
3.090881,0
1.388508,0
1.924198,0
64.314553,1
2.429820,0
11.236198,1
1.836759,0
3.376492,0
6.501485,0
2.154113,0
2.924741,0
1.607418,0
53.805648,1
90.172723,-1
23.798005,1
25.041803,1
2.072211,0
6.179139,0
1.635459,0
3.367630,0
38.147365,1
1.769714,0
2.818312,0
49.923141,1
3.933625,0
2.064049,0
1.631807,0
3.142999,0
7.165124,0
44.439088,1
0.683074,0
1.753199,0
1.994460,0
0.945080,0
2.256556,0
25.459914,1
10.756889,1
3.189311,-1
2.615661,0
3.464023,0
1.293447,0
1.514660,0
15.105631,1
3.315996,0
19.916603,1
16.808637,1
25.327475,1
17.041380,1
2.007992,0
94.016678,1
2.355213,0
3.246807,0
6.229496,0
3.997358,0
5.445919,0
37.995724,-1
1.847568,0
3.108912,0
1.275668,0
1.838934,0
8.326679,0
8.894641,1
26.491652,1
19.287043,1
1.566445,0
2.471641,0
2.629120,0
48.323840,1
31.408982,1
0.779457,0
38.567106,1
3.781162,0
2.758071,0
2.855852,0
2.405591,0
1.546620,0
407.564347,1
101.144183,1
17.346442,1
3.623310,0
9.964227,0
29.903057,1
37.241898,1
45.528643,1
4.982293,0
44.597793,1
1.174520,0
88.999055,1
11.860103,0
47.925548,1
3.146468,0
7.070364,0
63.469797,1
2.104065,0
49.332219,1
2.866363,0
133.102530,1
4.619082,0
3.654615,0
230.761202,-1
7.379883,1
10.599791,1
11.496577,0
2.625913,0
0.471041,0
8.364350,0
1.837536,0
44.296493,1
55.488316,1
2.974977,0
2.407730,0
176.201985,1
3.651549,0
0.862459,0
1.891952,0
67.512079,1
5.417118,0
4.336279,0
46.280401,1
1.456529,0
28.646196,1
1.193463,0
269.903836,-1
1.810681,0
2.628829,0
272.328271,-1
16.381432,1
16.628693,1
7.663938,0
3.024121,0
1.513577,0
78.320212,1
162.332855,1
6.587762,0
2.420089,0
306.249755,-1
8.175766,1
14.778246,1
13.209877,1
22.346977,1
10.750433,1
2.439302,0
31.755833,1
2.059853,0
9.442686,0
57.343229,1
1.867615,0
67.504752,1
9.516478,0
371.165179,-1
287.954960,-1
74.378761,1
5.223926,0
40.947464,1
21.318399,1
3.305137,0
1.055658,0
204.594636,-1
219.444202,1
3.318087,0
27.256522,1
10.930945,0
25.682965,1
63.833314,1
4.495579,0
67.234411,1
4.025380,0
3.549340,0
80.291562,1
4.020482,1
4.009286,0
12.178521,1
2.820764,0
3.573454,0
30.490727,1
30.855334,1
27.177229,1
59.802555,1
4.845380,0
4.821973,0
21.518790,1
3.548617,0
26.342843,1
1.385924,0
1.408091,0
115.055946,-1
2.424416,0
39.087935,1
1.811517,0
3.402240,0
3.090670,0
49.847188,1
16.019313,1
7.040014,0
46.398600,1
20.820902,1
0.806472,0
3.336938,0
10.113607,0
12.083830,1
7.790278,0
2.220536,0
3.484343,0
48.141979,1
0.554005,0
24.638536,1
43.809033,1
1.347070,0
2.241217,0
21.428221,1
94.815373,1
13.490209,1
116.561121,1
0.922020,0
26.822509,1
1.304260,0
1.826240,0
52.333984,1
85.723817,1
2.170826,0
214.048307,-1
47.761424,1
2.271853,0
26.052909,1
1.520430,0
12.108864,1
5.606381,0
133.097385,1
26.753843,1
28.769520,1
3.890120,0
1.158254,0
1.736155,0
2.698381,0
2.296979,0
4.169512,0
24.947346,1
98.349443,1
140.814734,1
43.734672,1
2.249794,0
7.003934,0
1.512051,0
2.406498,0
1.685164,0
3.601191,0
109.059189,1
2.329315,0
162.389969,-1
2.595396,0
21.568399,1
4.718287,0
58.897954,1
5.065860,0
1.528576,0
18.464769,0
99.377610,1
40.072695,1
7.205229,0
99.313229,1
3.095270,0
1.797663,0
40.252115,1
3.812730,0
2.684405,0
3.929452,0
12.159190,1
7.365121,0
9.842266,1
386.049785,-1
13.673180,1
8.231615,0
2.940102,0
1.429700,0
4.377855,0
2.351982,0
2.526794,0
1.709678,0
3.110150,0
9.539417,0
72.287656,1
4.286118,0
65.283851,1
22.736380,1
2.723254,0
62.255404,1
5.482589,0
9.832576,1
17.844545,1
19.747327,1
73.761497,1
18.054128,1
1.486448,0
5.746812,0
22.460435,1
8.231962,0
2.281683,0
3.320772,0
3.987794,0
1.283168,0
27.694317,1
1.534190,0
5.585916,0
3.311024,0
44.477637,1
52.273544,1
27.329621,-1
1.302832,0
1.772326,0
77.954100,1
2.847442,0
3.702575,0
1.783905,0
1.727664,0
20.562540,1
3.416768,0
2.764863,0
1.978114,0
5.040440,0
1.599491,0
25.778829,1
10.240125,0
4.584946,0
1.729135,0
22.969303,1
72.463750,1
19.365707,1
39.907844,1
9.370017,0
134.245085,1
7.432501,0
16.561159,1
57.014990,1
1.228933,0
2.814896,0
1.906096,0
2.660474,0
0.940763,0
0.819615,0
3.396303,0
12.131431,0
18.589743,1
41.450880,1
78.041015,1
3.735253,0
3.299928,0
1.726661,0
158.115527,1
12.119243,1
2.273822,0
2.762487,0
0.998358,0
7.865455,0
1.729702,0
53.241884,1
27.241339,1
2.603337,0
0.998850,0
2.902687,0
3.066876,0
248.081614,-1
140.257285,1
11.708733,1
4.157916,0
1.939674,0
1.719519,0
2.831236,0
56.660202,1
8.408261,0
2.679105,0
2.872137,0
27.005360,1
1.696227,0
2.044254,0
21.654716,1
35.668784,1
57.217252,1
9.729028,1
1.036148,0
1.148530,0
250.854334,-1
17.401343,1
3.124744,0
0.606747,0
1.691669,0
1.893965,0
84.894373,-1
2.079424,0
4.276927,0
0.965653,0
17.241659,0
3.761725,0
50.785177,1
19.030886,1
87.317874,1
5.314174,0
12.566851,1
27.079281,1
1.380128,0
4.008101,0
